text,transliteration
"Near an ear, a nearer ear, a nearly eerie ear","nɪɹ æn ɪɹ, ə nɪɹɹ̩ ɪɹ, ə nɪɹli ɪɹi ɪɹ"
I wish to wash my Irish wristwatch,aj wɪʃ tə wɑʃ maj ajɹɪʃ ɹɪstwɑt͡ʃ
Tom threw Tim three thumbtacks,tɑm θɹu tɪm θɹi θʌmbtæks
A big black bear sat on a big black rug,ə bɪɡ blæk bɛɹ sæt ɑn ə bɪɡ blæk ɹʌɡ
"So, this is the sushi chef","sow, ðɪs ɪz ðə suʃi ʃɛf"
Four fine fresh fish for you,fɔɹ fajn fɹɛʃ fɪʃ fɔɹ ju
Which witch is which?,wɪt͡ʃ wɪt͡ʃ ɪz wɪt͡ʃ?
Two tried and true tridents,tu tɹajd ænd tɹu tɹajdənts
She sees cheese,ʃi siz t͡ʃiz
"Fred fed Ted bread, and Ted fed Fred bread","fɹɛd fɛd tɛd bɹɛd, ænd tɛd fɛd fɹɛd bɹɛd"
"Denise sees the fleece, Denise sees the fleas.","dɪnis siz ðə flis, dɪnis siz ðə fliz."
At least Denise could sneeze and feed and freeze the fleas.,æt list dɪnis kʊd sniz ænd fid ænd fɹiz ðə fliz.
"Awaiting the sensation of a short, sharp shock,","əwejtɪŋ ðə sɛnsejʃən ʌv ə ʃɔɹt, ʃɑɹp ʃɑk,"
Ann and Andy's anniversary is in April.,æn ænd ændiz ænəvɹ̩sɹ̩i ɪz ɪn ejpɹəl.
"Mr. Tongue Twister tried to train his tongue to twist and turn, and twit an twat, to learn the letter T.","mɪstɹ̩. tʌŋ twɪstɹ̩ tɹajd tə tɹejn hɪz tʌŋ tə twɪst ænd tɹ̩n, ænd twɪt æn twɑt, tə lɹ̩n ðə lɛtɹ̩ ti."
Peter's papa poked to the pea patch to pick a peck of peas for the poor pink pig in the pine hole pig-pen.,pitɹ̩z pɑpə powkt tə ðə pi pæt͡ʃ tə pɪk ə pɛk ʌv piz fɔɹ ðə pʊɹ pɪŋk pɪɡ ɪn ðə pajn howl pɪɡ-pɛn.
She saw Sherif's shoes on the sofa. But was she so sure she saw Sherif's shoes on the sofa?,ʃi sɔ ʃɛɹɪfz ʃuz ɑn ðə sowfə. bʌt wɑz ʃi sow ʃʊɹ ʃi sɔ ʃɛɹɪfz ʃuz ɑn ðə sowfə?
Tie twine to three tree twigs.,taj twajn tə θɹi tɹi twɪɡz.
Three short sword sheaths unsheathed there.,θɹi ʃɔɹt sɔɹd ʃiθs ənʃiðd ðɛɹ.
The queen in green screamed.,ðə kwin ɪn ɡɹin skɹimd.
I saw a saw that could out saw any saw I ever saw saw. If you happen to see a saw that can out saw the saw I saw saw I'd like to see the saw you saw saw.,aj sɔ ə sɔ ðæt kʊd awt sɔ ɛni sɔ aj ɛvɹ̩ sɔ sɔ. ɪf ju hæpən tə si ə sɔ ðæt kæn awt sɔ ðə sɔ aj sɔ sɔ ɪd lajk tə si ðə sɔ ju sɔ sɔ.
"How many berries could a bare berry carry, if a bare berry could carry berries? Well they can't carry berries (which could make you very wary) but a bare berry carried is more scary!","haw mɛni bɛɹiz kʊd ə bɛɹ bɛɹi kæɹi, ɪf ə bɛɹ bɛɹi kʊd kæɹi bɛɹiz? wɛl ðej kænt kæɹi bɛɹiz (wɪt͡ʃ kʊd mejk ju vɛɹi wɛɹi) bʌt ə bɛɹ bɛɹi kæɹid ɪz mɔɹ skɛɹi!"
Six slimy snails sailed silently.,sɪks slajmi snejlz sejld sajləntli.
Seven slick slimey snakes slowly sliding southward.,sɛvən slɪk slajmi snejks slowli slajdɪŋ sawθwɹ̩d.
Roofs of mushrooms rarely mush too much.,ɹufs ʌv mʌʃɹumz ɹɛɹli mʌʃ tu mʌt͡ʃ.
He threw three balls.,hi θɹu θɹi bɔlz.
Singing Sammy sung songs on sinking sand.,sɪŋɪŋ sæmi sʌŋ sɔŋz ɑn sɪŋkɪŋ sænd.
On a lazy laser raiser lies a laser ray eraser.,ɑn ə lejzi lejzɹ̩ ɹejzɹ̩ lajz ə lejzɹ̩ ɹej ɪɹejsɹ̩.
"Scissors sizzle, thistles sizzle.","sɪzɹ̩z sɪzəl, θɪsəlz sɪzəl."
Fresh French fried fly fritters froze into frost.,fɹɛʃ fɹɛnt͡ʃ fɹajd flaj fɹɪtɹ̩z fɹowz ɪntu fɹɔst.
Eddie edited it.,ɛdi ɛdətəd ɪt.
The ruddy widow really wants ripe watermelon and red roses when winter arrives.,ðə ɹʌdi wɪdow ɹɪli wɑnts ɹajp wɔtɹ̩mɛlən ænd ɹɛd ɹowzɪz wɛn wɪntɹ̩ ɹ̩ajvz.
Tommy Tucker tried to tie Tammy's the turtle's tie.,tɑmi tʌkɹ̩ tɹajd tə taj tæmiz ðə tɹ̩tlɛz taj.
This is the sixth zebra snoozing thoroughly.,ðɪs ɪz ðə sɪksθ zibɹə snuzɪŋ θɹ̩owli.
I eat eel while you peel eel,aj it il wajl ju pil il
Seven sleazy shysters in sharkskin suits sold sheared sealskins to seasick sailors.,sɛvən slizi ʃajstɹ̩z ɪn ʃɑɹkskɪn suts sowld ʃɪɹd silskɪnz tə sisɪk sejlɹ̩z.
"I slit a sheet, a sheet I slit, upon a slitted sheet I sit.","aj slɪt ə ʃit, ə ʃit aj slɪt, əpɑn ə slɪtɪd ʃit aj sɪt."
Knife and a fork bottle and a cork that is the way you spell New York.,najf ænd ə fɔɹk bɑtəl ænd ə kɔɹk ðæt ɪz ðə wej ju spɛl nu jɔɹk.
"Chicken in the car and the car can go, that is the way you spell Chicago.","t͡ʃɪkən ɪn ðə kɑɹ ænd ðə kɑɹ kæn ɡow, ðæt ɪz ðə wej ju spɛl ʃəkɑɡow."
"Buckets of bug blood, buckets of bug blood, buckets of bug blood.","bʌkəts ʌv bʌɡ blʌd, bʌkəts ʌv bʌɡ blʌd, bʌkəts ʌv bʌɡ blʌd."
I'm a sock cutter and I cut socks. I'm a sock cutter and I cut socks. I'm a sock cutter and I cut socks.,ɪm ə sɑk kʌtɹ̩ ænd aj kʌt sɑks. ɪm ə sɑk kʌtɹ̩ ænd aj kʌt sɑks. ɪm ə sɑk kʌtɹ̩ ænd aj kʌt sɑks.
"If Kantie can tie a tie and untie a tie, why can't I tie a tie and untie a tie like Kantie can.","ɪf kænti kæn taj ə taj ænd əntaj ə taj, waj kænt aj taj ə taj ænd əntaj ə taj lajk kænti kæn."
A black bloke's back brake-block broke.,ə blæk blowkəz bæk bɹejk-blɑk bɹowk.
Big black bugs bleed blue black blood but baby black bugs bleed blue blood.,bɪɡ blæk bʌɡz blid blu blæk blʌd bʌt bejbi blæk bʌɡz blid blu blʌd.
Six Czech cricket critics.,sɪks t͡ʃɛk kɹɪkət kɹɪtɪks.
Santa's short suit shrunk,sɑntəz ʃɔɹt sut ʃɹʌŋk
Willy's real rear wheel,wɪlɪz ɹil ɹɪɹ wil
The seething sea ceaseth and thus the seething sea sufficeth us.,ðə siθɪŋ si sisəθ ænd ðʌs ðə siθɪŋ si səfisɪθ ʌs.
Peter Piper picked a peck of pickled peppers,pitɹ̩ pajpɹ̩ pɪkt ə pɛk ʌv pɪkəld pɛpɹ̩z
A peck of pickled peppers Peter Piper picked,ə pɛk ʌv pɪkəld pɛpɹ̩z pitɹ̩ pajpɹ̩ pɪkt
Betty Botter bought a bit of butter.,bɛti bɑtɹ̩ bɑt ə bɪt ʌv bʌtɹ̩.
The butter Betty Botter bought was a bit bitter and made her batter bitter.,ðə bʌtɹ̩ bɛti bɑtɹ̩ bɑt wɑz ə bɪt bɪtɹ̩ ænd mejd hɹ̩ bætɹ̩ bɪtɹ̩.
So Betty Botter bought a bit of better butter making Betty Botter's bitter batter better.,sow bɛti bɑtɹ̩ bɑt ə bɪt ʌv bɛtɹ̩ bʌtɹ̩ mejkɪŋ bɛti bɑtɹ̩z bɪtɹ̩ bætɹ̩ bɛtɹ̩.
Shep Schwab shopped at Scott's Schnapps shop;,ʃɛp ʃwɑb ʃɑpt æt skɑtz ʃnæps ʃɑp;
One shot of Scott's Schnapps stopped Schwab's watch.,wʌn ʃɑt ʌv skɑtz ʃnæps stɑpt ʃwɔbz wɑt͡ʃ.
"Kleptomaniac Claude Cooper from Cleveland, who copped clean copper clappers kept in a closet","klɛptəmejniæk klɔd kupɹ̩ fɹʌm klivlənd, hu kɑpt klin kɑpɹ̩ klæpɹ̩z kɛpt ɪn ə klɑzət"
"Thistle sticks, sixty six thousand and six thistle sticks.","θɪsəl stɪks, sɪksti sɪks θawzənd ænd sɪks θɪsəl stɪks."
"Theophulous Thistle, the thistle sifter, thrust a thousand thistles through the thick of his thumb.","θejəfələs θɪsəl, ðə θɪsəl sɪftɹ̩, θɹʌst ə θawzənd θɪsəlz θɹu ðə θɪk ʌv hɪz θʌm."
Only royal oily royal oil boils,ownli ɹojəl ojli ɹojəl ojl bojlz
Six sick hicks nick six slick bricks with picks and sticks.,sɪks sɪk hɪks nɪk sɪks slɪk bɹɪks wɪð pɪks ænd stɪks.
One-one was a race horse. Two-two was one too. One-one won one race. Two-two won one too.,wʌn-wʌn wɑz ə ɹejs hɔɹs. tu-tu wɑz wʌn tu. wʌn-wʌn wʌn wʌn ɹejs. tu-tu wʌn wʌn tu.
Porpoise pierre peered at a pair of poor peers pouring pears past the pier,pɔɹpəz piɛɹ pɪɹd æt ə pɛɹ ʌv pʊɹ pɪɹz pɔɹɪŋ pɛɹz pæst ðə pɪɹ
Squatches squishing squelchy squashes,skwæt͡ʃəz skwɪʃɪŋ skwɛlki skwɑʃɪz
What if the moths were on the moth moss every month in a mob of moss moths? Would the monthly mob of moss moths mod the monthly moth moss or would the moss be mobbed with moths?,wʌt ɪf ðə mɔθs wɹ̩ ɑn ðə mɔθ mɔs ɛvɹ̩i mʌnθ ɪn ə mɑb ʌv mɔs mɔθs? wʊd ðə mʌnθli mɑb ʌv mɔs mɔθs mɑd ðə mʌnθli mɔθ mɔs ɔɹ wʊd ðə mɔs bi mɑbd wɪð mɔθs?
Akon the icon owner of the Acoin of the city Akon,ækɑn ðə ajkɑn ownɹ̩ ʌv ðə ɑkojn ʌv ðə sɪti ækɑn
Refrigerated tater freight makes great grated tater cakes,ɹɪfɹɪd͡ʒɹ̩ejtɪd tejtɹ̩ fɹejt mejks ɡɹejt ɡɹejtɪd tejtɹ̩ kejks
On day eight they ate their daily weight in dates they say date eight days from today,ɑn dej ejt ðej ejt ðɛɹ dejli wejt ɪn dejts ðej sej dejt ejt dejz fɹʌm tədej
I sing a sing-a-long along a long and icy log of icing.,aj sɪŋ ə sɪŋ-ə-lɔŋ əlɔŋ ə lɔŋ ænd ajsi lɔɡ ʌv ajsɪŋ.
A broad abroad alone and bored aboard a board long and broad,ə bɹɔd əbɹɔd əlown ænd bɔɹd əbɔɹd ə bɔɹd lɔŋ ænd bɹɔd
Cheap Tai Chi teacher tips chai tea,t͡ʃip taj kaj tit͡ʃɹ̩ tɪps t͡ʃaj ti
Maxwell Hackensack hacked well a hackey sack while Will Sackwell hacked Maxwell real well in an axe attack.,mækswɛl hækənsæk hækt wɛl ə hæki sæk wajl wɪl sækwɛl hækt mækswɛl ɹil wɛl ɪn æn æks ətæk.
"“These sheaths,” she seethed, “were seized by thieves.”","“ðiz ʃiθs,” ʃi siðd, “wɹ̩ sizd baj θivz.”"
Slipshod Slick shops sick ship slop.,slɪpʃɑd slɪk ʃɑps sɪk ʃɪp slɑp.
Where has the mean bean been in his beam dream,wɛɹ hæz ðə min bin bɪn ɪn hɪz bim dɹim
"Local cola, Lakota koala","lowkəl kowlə, ləkowtə kowɑlə"
Peter passionately patiently pet polite panthers peacefully,pitɹ̩ pæʃənətli pejʃəntli pɛt pəlajt pænθɹ̩z pisfəli
Buoyant buoys blew bits by Boston,bojənt buiz blu bɪts baj bɑstən
"Gravelly, glutinous growths get gloomily glomped up into a gross agglomeration inside a grumbling, grovelling glomerulus.","ɡɹævəli, ɡlutənəs ɡɹowθs ɡɛt ɡluməli ɡlɑmpt ʌp ɪntu ə ɡɹows əɡlɑmɹ̩ejʃən ɪnsajd ə ɡɹʌmbəlɪŋ, ɡɹowvɛlɪŋ ɡlɑmɹ̩ələs."
Page Parts Paths with Poor Partner Portner,pejd͡ʒ pɑɹts pæðz wɪð pʊɹ pɑɹtnɹ̩ pɔɹtnɹ̩
An enraging arranged engage,æn ɛnɹejd͡ʒɪŋ ɹ̩ejnd͡ʒd ɛnɡejd͡ʒ
"If you can’t scan the canned clam, hand-scan the clam can","ɪf ju kænt skæn ðə kænd klæm, hænd-skæn ðə klæm kæn"
Be wary of the weary werewolf at the weird weir where they wear fine wares.,bi wɛɹi ʌv ðə wɪɹi wɛɹwʊlf æt ðə wɪɹd wiɹ wɛɹ ðej wɛɹ fajn wɛɹz.
Beckham's bacon beacon beckoned,bɛkhæmz bejkən bikən bɛkənd
"Without qualms, the queasy queen of Quebec quickly quarantined the quirky, quaint quails after a questionable query.","wɪθawt kwɑmz, ðə kwizi kwin ʌv kwəbɛk kwɪkli kwɔɹəntind ðə kwɹ̩ki, kwejnt kwejlz æftɹ̩ ə kwɛst͡ʃənəbəl kwiɹi."
I ride dirk's dirt bike to knife fight night.,aj ɹajd dɹ̩kz dɹ̩t bajk tə najf fajt najt.
Wessex was west of Essex,wɛsəks wɑz wɛst ʌv ɛsɪks
The shower sink shrinks,ðə ʃawɹ̩ sɪŋk ʃɹɪŋks
"A daily dose of ""Daisy"" Dale Dunlap's Deli for dads and dandelions to dally and dabble in double dribbles","ə dejli dows ʌv ""dejzi"" dejl dʌnlæps dɛli fɔɹ dædz ænd dændəlajənz tə dæli ænd dæbəl ɪn dʌbəl dɹɪbəlz"
Which witch whipped which wrist?,wɪt͡ʃ wɪt͡ʃ wɪpt wɪt͡ʃ ɹɪst?
Real weird rear wheel drive.,ɹil wɪɹd ɹɪɹ wil dɹajv.
Otto Octavius oughta activate the auto activator on the outer octagon.,ɑtow ɑktejviəs ɔtə æktəvejt ðə ɔtow æktəvejtɹ̩ ɑn ðə awtɹ̩ ɑktəɡɑn.
"If you wore a mask while making masks, you’d be a masked mass mask maker.","ɪf ju wɔɹ ə mæsk wajl mejkɪŋ mæsks, jud bi ə mæskt mæs mæsk mejkɹ̩."
Perry and Ella paired a pair of parallel parallelograms,pɛɹi ænd ɛlə pɛɹd ə pɛɹ ʌv pɛɹəlɛl pɛɹələləɡɹæmz
Official fish'll fish official fish offal from official fish offal fissures.,əfɪʃəl fɪʃl fɪʃ əfɪʃəl fɪʃ ɑfəl fɹʌm əfɪʃəl fɪʃ ɑfəl fɪʃɹ̩z.
"If each which can switch one switch, which witch would switch which switch?","ɪf it͡ʃ wɪt͡ʃ kæn swɪt͡ʃ wʌn swɪt͡ʃ, wɪt͡ʃ wɪt͡ʃ wʊd swɪt͡ʃ wɪt͡ʃ swɪt͡ʃ?"
The Rother River withers with the Witham river's rhythm,ðə ɹɔθɹ̩ ɹɪvɹ̩ wɪðɹ̩z wɪð ðə wɪθəm ɹɪvɹ̩z ɹɪðəm
The current curry courier scurried hurriedly.,ðə kɹ̩ənt kʌɹi kɹ̩iɹ̩ skɹ̩id hɹ̩idli.
The butler burnt the butter but the bacon bore the brunt,ðə bʌtlɹ̩ bɹ̩nt ðə bʌtɹ̩ bʌt ðə bejkən bɔɹ ðə bɹʌnt
The jolly gray jay joyfully juggles hay.,ðə d͡ʒɑli ɡɹej d͡ʒej d͡ʒojfəli d͡ʒʌɡəlz hej.
We should show Sue this snow shoe.,wi ʃʊd ʃow su ðɪs snow ʃu.
Which wristwatch would a rich witch watch?,wɪt͡ʃ ɹɪstwɑt͡ʃ wʊd ə ɹɪt͡ʃ wɪt͡ʃ wɑt͡ʃ?
"A big bug bit a bold bald bear, and the bold bald bear bled blood badly.","ə bɪɡ bʌɡ bɪt ə bowld bɔld bɛɹ, ænd ðə bowld bɔld bɛɹ blɛd blʌd bædli."
What's wrong with Bob Loblaw's long oblong bong?,wætz ɹɔŋ wɪð bɑb lɑblɔz lɔŋ ɑblɔŋ bɑŋ?
Backslash splashback.,bækslæʃ splæʃbæk.
Bare beers bore bears but bears brew better beers.,bɛɹ bɪɹz bɔɹ bɛɹz bʌt bɛɹz bɹu bɛtɹ̩ bɪɹz.
Gilligan's vigilant diligence,ɡɪlɪɡənz vɪd͡ʒələnt dɪləd͡ʒəns
Hersh's cursed Turkish circus shirts,hɹ̩ʃz kɹ̩st tɹ̩kɪʃ sɹ̩kəs ʃɹ̩ts
Vlads dad doesn’t like vlads lads because vlads lads are bad,vlædz dæd dʌznt lajk vlædz lædz bɪkɔz vlædz lædz ɑɹ bæd
Mitchell the specialist schnitzel snitch will snitch your specialest schnitzel dish.,mɪt͡ʃəl ðə spɛʃələst ʃnɪtzəl snɪt͡ʃ wɪl snɪt͡ʃ jɔɹ spɛʃələst ʃnɪtzəl dɪʃ.
An ad hominem on an indomitable abdominal abominable snowman,æn æd hɑmɪnɛm ɑn æn ɪndɑmətəbəl æbdɑmənəl əbɑmənəbəl snowmæn
Muriel from the Bureau of ruined rural murals,mjʊɹiəl fɹʌm ðə bjʊɹow ʌv ɹuənd ɹʊɹəl mjʊɹəlz
Sharp shredders shred sharp cheddar,ʃɑɹp ʃɹɛdɹ̩z ʃɹɛd ʃɑɹp t͡ʃɛdɹ̩
The elite with the neat feet take a seat to meet and eat meat feat wheat from Sweet Pete,ðə ɪlit wɪð ðə nit fit tejk ə sit tə mit ænd it mit fit wit fɹʌm swit pit
"My gritty, witty city kitty","maj ɡɹɪti, wɪti sɪti kɪti"
Portnoy finds joy in hoi polloi boy toy,pɔɹtnoj fajndz d͡ʒoj ɪn hoj pɑloj boj toj
How would you enjoy joining Portnoy for a scorched soy porterhouse pork four-courser at Koi?,haw wʊd ju ɛnd͡ʒoj d͡ʒojnɪŋ pɔɹtnoj fɔɹ ə skɔɹt͡ʃt soj pɔɹtɹ̩haws pɔɹk fɔɹ-kɔɹsɹ̩ æt koj?
"Your dumb drone downed a tower and drowned Downtown Julie Brown’s dummy drum-y dum-dum-dum-dum, dousing her newly-found goose-down hand-me-down gown?","jɔɹ dʌm dɹown dawnd ə tawɹ̩ ænd dɹawnd dawntawn d͡ʒuli bɹawnz dʌmi dɹʌm-waj dʌm-dʌm-dʌm-dʌm, dawsɪŋ hɹ̩ nuli-fawnd ɡus-dawn hænd-mi-dawn ɡawn?"
Pass the fatter plaster platter faster,pæs ðə fætɹ̩ plæstɹ̩ plætɹ̩ fæstɹ̩
Selfish shellfish in your cell sell your cell for shellfish so that you can't selfishly sell your cell yourself for shellfish.,sɛlfɪʃ ʃɛlfɪʃ ɪn jɔɹ sɛl sɛl jɔɹ sɛl fɔɹ ʃɛlfɪʃ sow ðæt ju kænt sɛlfɪʃli sɛl jɔɹ sɛl jɹ̩sɛlf fɔɹ ʃɛlfɪʃ.
"What a great 'grape crepe' crate, Kate!","wʌt ə ɡɹejt ɡɹejp kɹɛpɪ kɹejt, kejt!"
Literally an illiterate little litterer,lɪtɹ̩əli æn ɪlɪtɹ̩ət lɪtəl lɪtɹ̩ɹ̩
A fun Norse horse-lord affords four fun fjords for forlorn fans.,ə fʌn nɔɹs hɔɹs-lɔɹd əfɔɹdz fɔɹ fʌn fjɔɹdz fɔɹ fɹ̩lɔɹn fænz.
"Juan won a one ton wonton, want one?","wɑn wʌn ə wʌn tʌn wɑntən, wɑnt wʌn?"
Wibbily wobbily wallaby wannabe wallowing wanting one wanton walloping,wɪbəəli wɑbəəli wɔləbi wɑnəbi wɑlowɪŋ wɑntɪŋ wʌn wɔntən wɔləpɪŋ
A mixed bag of mismatched dish raising,ə mɪkst bæɡ ʌv mɪsmæt͡ʃt dɪʃ ɹejzɪŋ
Three French-Friesian fiends fetched free fresh freesias.,θɹi fɹɛnt͡ʃ-fɹizən findz fɛt͡ʃt fɹi fɹɛʃ fɹiʒiəz.
Many an enemy of anemone's anonymous amenities,mɛni æn ɛnəmi ʌv ənmənəz ənɑnəməs əmɛnətiz
West once went whence Wentz once went west.,wɛst wʌns wɛnt wɛns wɛnts wʌns wɛnt wɛst.
Levi's lover loathes level leather levers.,lɛvɪz lʌvɹ̩ lowðz lɛvəl lɛðɹ̩ lɛvɹ̩z.
Sheik's chic chick Schicks six sick chicks' sticks,ʃiks ʃik t͡ʃɪk ʃɪks sɪks sɪk t͡ʃɪks stɪks
Pancaked by drunk dump truck driver,pænkejkt baj dɹʌŋk dʌmp tɹʌk dɹajvɹ̩
Will Smith shifts Phil Swift's smith swiftly,wɪl smɪθ ʃɪfts fɪl swɪftz smɪθ swɪftli
A deaf's depth of debt is death defying,ə dɛfz dɛpθ ʌv dɛt ɪz dɛθ dɪfajɪŋ
